x,y,z,pos
17.18289552238806,57.5170671641791,-76.7704552238806,1
14.194134146341465,54.14548780487805,-72.87965853658537,2
15.567415841584157,49.36406930693069,-74.08776237623762,3
10.643756097560976,51.24721951219512,-68.3969837398374,4
15.729666666666667,46.391179487179485,-68.30081196581196,5
8.34421379310345,46.34651724137931,-65.07178620689655,6
16.590014705882353,44.569367647058826,-61.48295588235295,7
9.771012500000001,39.324012499999995,-61.8548,8
11.1368,40.864916666666666,-56.53191666666667,9
11.843969387755102,34.881928571428574,-57.498816326530616,10
7.721223300970873,37.52733980582524,-52.42234951456311,11
12.4365875,33.6276625,-50.728625,12
5.112296774193548,31.773806451612902,-49.75930322580645,13
11.921138461538462,30.031907692307694,-45.79590769230769,14
6.072390625,26.884140625,-45.761625,15
7.00527536231884,27.6998115942029,-41.02776811594203,16
4.682979310344828,22.26418620689655,-43.082841379310345,17
4.4075921052631575,24.659736842105264,-36.88322368421053,18
6.931351648351649,19.00642857142857,-37.968813186813186,19
2.5383125,18.295724999999997,-34.4163,20
7.63615294117647,19.554258823529413,-30.50123529411765,21
3.9581612903225807,13.496137096774193,-32.07165322580645,22
5.945085106382979,16.03723404255319,-25.821978723404257,23
7.329709401709402,10.27391452991453,-27.911358974358972,24
4.385433333333333,12.325733333333334,-22.864050000000002,25
10.985957894736842,11.81178947368421,-21.478663157894736,26
5.423151515151515,11.299787878787878,-17.810181818181817,27
1.8145625,6.9742500000000005,-24.512125,28
10.293870967741936,5.914032258064516,-23.68975806451613,29
12.60012244897959,3.9577142857142857,-17.829285714285714,30
5.525617021276596,2.2516063829787236,-25.10662765957447,32
12.535491228070176,0.5199122807017544,-21.18540350877193,33
4.1946666666666665,-4.538736842105264,-22.20961403508772,35
9.690746666666668,-4.509186666666667,-23.318933333333334,36
13.995144578313253,-4.809265060240963,-18.28134939759036,37
9.71415625,-8.96853125,-15.8048125,38
7.136891891891892,-10.19181081081081,-19.520756756756757,39
3.8146428571428572,-8.338357142857143,-19.526964285714286,40
-2.0025125,-7.867700000000001,-19.5041375,41
2.135357142857143,12.809571428571429,-16.348285714285716,46
-10.174545454545454,11.056272727272727,-13.051727272727272,47
-4.605048780487804,19.625146341463413,-12.815268292682928,48
-7.069342105263158,17.346605263157898,-5.8691578947368415,49
-8.443929411764707,21.35323529411765,-9.072035294117647,50
-9.93,19.382244897959183,-14.12073469387755,51
-10.616181818181817,14.155818181818182,-14.548909090909092,52
-6.77328409090909,17.879590909090908,-19.391727272727273,53
-7.6898333333333335,10.726136363636362,-18.81157575757576,54
